Letters,Sounds,Letter_Classification,Mei_Uyirmei_Classification_Sound,Kuril_Nedil_Classification,,,,,,,,,,,
யி,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ரி,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
லி,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
வி,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ழி,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ளி,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
றி,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
னி,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
கீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஙீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
சீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஞீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
டீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ணீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
தீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
நீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
பீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
மீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
யீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ரீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
லீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
வீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ழீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ளீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
றீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
னீ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
கு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ஙூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
சு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ஞு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
டு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ணு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
து,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
நு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
பு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
மு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
யு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ரு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
லு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
வு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ழு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ளு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
று,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
னு,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
கூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஙூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
சூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஞூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
டூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ணூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
தூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
நூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
பூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
மூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
யூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ரூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
லூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
வூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ழூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ளூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
றூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
னூ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
கெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ஙெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
செ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ஞெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
டெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ணெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
தெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
நெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
பெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
மெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
